Num Attributes: 61
Num Instances: 39644
Summary Statistics:
Feature,Min,Max,Avg,Std,Varience
 n_tokens_title,2.0,23.0,10.3987488649,2.11401014538,4.46903889476
 n_tokens_content,0.0,8474.0,546.514731107,471.101566185,221936.685662
 n_unique_tokens,0.0,701.0,0.548215716849,3.52066392691,12.3950744863
 n_non_stop_words,0.0,1042.0,0.996468565458,5.23116496715,27.3650869135
 n_non_stop_unique_tokens,0.0,650.0,0.689175394008,3.26477517788,10.6587569621
 num_hrefs,0.0,304.0,10.8836898396,11.3318744529,128.411378616
 num_self_hrefs,0.0,116.0,3.2936383816,3.85509252307,14.8617383614
 num_imgs,0.0,128.0,4.54414287156,8.3093287183,69.0449437487
 num_videos,0.0,91.0,1.24987387751,4.10780327661,16.8740477593
 average_token_length,0.0,8.04153354633,4.54823931834,0.844394915275,0.713002772942
 num_keywords,1.0,10.0,7.22376652205,1.90910630739,3.64468689292
 data_channel_is_lifestyle,0.0,1.0,0.0529462213702,0.223926146336,0.0501429190128
 data_channel_is_entertainment,0.0,1.0,0.178009282615,0.382520558818,0.146321977918
 data_channel_is_bus,0.0,1.0,0.157854908687,0.364604904644,0.132936736491
 data_channel_is_socmed,0.0,1.0,0.0585965089295,0.2348679588,0.0551629580708
 data_channel_is_tech,0.0,1.0,0.185299162547,0.388540066024,0.150963382906
 data_channel_is_world,0.0,1.0,0.21256684492,0.409123674896,0.167382181361
 kw_min_min,-1.0,377.0,26.1068005247,69.6323368845,4848.66233999
 kw_max_min,0.0,298400.0,1153.95168222,3857.94221828,14883718.1596
 kw_avg_min,-1.0,42827.8571429,312.366966797,620.776057783,385362.913917
 kw_min_max,0.0,843300.0,13612.3541015,57985.2980185,3362294786.3
 kw_max_max,0.0,843300.0,752324.066694,214499.424201,46010002982.7
 kw_avg_max,0.0,843300.0,259281.938083,135100.543331,18252156808.3
 kw_min_avg,-1.0,3613.0398195,1117.14660997,1137.44260479,1293775.6792
 kw_max_avg,0.0,298400.0,5657.21115106,6098.79503577,37195300.8884
 kw_avg_avg,0.0,43567.6599458,3135.85863895,1318.13377215,1737476.64128
 self_reference_min_shares,0.0,843300.0,3998.75539552,19738.4215657,389605285.904
 self_reference_max_shares,0.0,843300.0,10329.2126619,41027.0591596,1683219583.29
 self_reference_avg_sharess,0.0,843300.0,6401.69757982,24211.02687,586173822.102
 weekday_is_monday,0.0,1.0,0.168020381394,0.373884384309,0.13978953283
 weekday_is_tuesday,0.0,1.0,0.18640904046,0.389436400578,0.151660710095
 weekday_is_wednesday,0.0,1.0,0.187544142872,0.390347713387,0.152371337346
 weekday_is_thursday,0.0,1.0,0.183306427202,0.38691753766,0.149705180949
 weekday_is_friday,0.0,1.0,0.143804863283,0.350891756215,0.123125024579
 weekday_is_saturday,0.0,1.0,0.0618756936737,0.24092964161,0.0580470922061
 weekday_is_sunday,0.0,1.0,0.0690394511149,0.253521212731,0.0642730053047
 is_weekend,0.0,1.0,0.130915144789,0.337307529791,0.113776369654
 LDA_00,0.0,0.926994384393,0.184599048284,0.26297139241,0.0691539532261
 LDA_01,0.0,0.925946986138,0.141255773128,0.219704557826,0.0482700927294
 LDA_02,0.0,0.919999088666,0.216320966773,0.282141645382,0.0796039080591
 LDA_03,0.0,0.926533782685,0.223769616514,0.295187010435,0.0871353711298
 LDA_04,0.0,0.927190809258,0.234029370803,0.289179830804,0.0836249745441
 global_subjectivity,0.0,1.0,0.443370199551,0.116683170781,0.0136149623435
 global_sentiment_polarity,-0.39375,0.727840909091,0.119309269286,0.0969294387306,0.00939531609262
 global_rate_positive_words,0.0,0.155487804878,0.039624833009,0.0174284380467,0.000303750452747
 global_rate_negative_words,0.0,0.184931506849,0.0166121195346,0.0108276556242,0.000117238126316
 rate_positive_words,0.0,1.0,0.6821502211,0.190203925716,0.0361775333578
 rate_negative_words,0.0,1.0,0.287933524233,0.156153918492,0.0243840462606
 avg_positive_polarity,0.0,1.0,0.353824943407,0.104540869788,0.010928793456
 min_positive_polarity,0.0,1.0,0.0954455380702,0.0713140322984,0.00508569120265
 max_positive_polarity,0.0,1.0,0.7567275437,0.24778259324,0.0613962135127
 avg_negative_polarity,-1.0,0.0,-0.259524141091,0.127724111111,0.016313448559
 min_negative_polarity,-1.0,0.0,-0.521943727748,0.290285840983,0.0842658694751
 max_negative_polarity,-1.0,0.0,-0.107500240156,0.0953717819571,0.00909577679368
 title_subjectivity,0.0,1.0,0.282353184114,0.324243285775,0.10513370837
 title_sentiment_polarity,-1.0,1.0,0.0714254319759,0.265446881189,0.0704620467328
 abs_title_subjectivity,0.0,0.5,0.34184275596,0.188788423661,0.0356410689085
 abs_title_sentiment_polarity,0.0,1.0,0.156063662857,0.226291343629,0.0512077722016
 shares,1.0,843300.0,3395.38018363,11626.8041057,135182573.713
